date,equity,cash,shares,close,drawdownPct
2021-09-23,399307.31,2.14,901,443.17999267578125,2.21
2021-09-24,399965.05,2.14,901,443.9100036621094,2.05
2021-09-27,398820.79,2.14,901,442.6400146484375,2.33
2021-09-28,390783.86,2.14,901,433.7200012207031,4.3
2021-09-29,391441.6,2.14,901,434.45001220703125,4.14
2021-09-30,386657.29,2.14,901,429.1400146484375,5.31
2021-10-01,391252.37,2.14,901,434.239990234375,4.18
2021-10-04,386206.79,2.14,901,428.6400146484375,5.42
2021-10-05,390225.25,2.14,901,433.1000061035156,4.43
2021-10-06,391847.04,2.14,901,434.8999938964844,4.04
2021-10-07,395234.8,2.14,901,438.6600036621094,3.21
2021-10-08,394513.99,2.14,901,437.8599853515625,3.38
2021-10-11,391657.83,2.14,901,434.69000244140625,4.08
2021-10-12,390693.76,2.14,901,433.6199951171875,4.32
2021-10-13,392099.31,2.14,901,435.17999267578125,3.97
2021-10-14,398694.64,2.14,901,442.5,2.36
2021-10-15,401731.01,2.14,901,445.8699951171875,1.62
2021-10-18,402920.33,2.14,901,447.19000244140625,1.32
2021-10-19,406028.79,2.14,901,450.6400146484375,0.56
2021-10-20,407623.55,2.14,901,452.4100036621094,0.17
2021-10-21,408686.73,2.14,901,453.5899963378906,0
2021-10-22,408263.26,2.14,901,453.1199951171875,0.1
2021-10-25,410452.68,2.14,901,455.54998779296875,0
2021-10-26,410822.09,2.14,901,455.9599914550781,0
2021-10-27,409002.08,2.14,901,453.94000244140625,0.44
2021-10-28,412948.47,2.14,901,458.32000732421875,0
2021-10-29,413786.39,2.14,901,459.25,0
2021-11-01,414498.19,2.14,901,460.0400085449219,0
2021-11-02,416174.04,2.14,901,461.8999938964844,0
2021-11-03,418714.86,2.14,901,464.7200012207031,0
2021-11-04,420688.05,2.14,901,466.9100036621094,0
2021-11-05,422147.67,2.14,901,468.5299987792969,0
2021-11-08,422508.06,2.14,901,468.92999267578125,0
2021-11-09,421111.53,2.14,901,467.3800048828125,0.33
2021-11-10,417723.76,2.14,901,463.6199951171875,1.13
2021-11-11,417858.9,2.14,901,463.7699890136719,1.1
2021-11-12,421012.4,2.14,901,467.2699890136719,0.35
2021-11-15,421156.56,2.14,901,467.42999267578125,0.32
2021-11-16,422823.42,2.14,901,469.2799987792969,0
2021-11-17,421796.29,2.14,901,468.1400146484375,0.24
2021-11-18,423228.88,2.14,901,469.7300109863281,0
2021-11-19,422472.04,2.14,901,468.8900146484375,0.18
2021-11-22,421282.72,2.14,901,467.57000732421875,0.46
2021-11-23,421841.33,2.14,901,468.19000244140625,0.33
2021-11-24,422967.58,2.14,901,469.44000244140625,0.06
2021-11-26,413534.11,2.14,901,458.9700012207031,2.29
2021-11-29,418606.75,2.14,901,464.6000061035156,1.09
2021-11-30,410461.7,2.14,901,455.55999755859375,3.02
2021-12-01,405902.64,2.14,901,450.5,4.09
2021-12-02,412119.54,2.14,901,457.3999938964844,2.62
2021-12-03,408533.57,2.14,901,453.4200134277344,3.47
2021-12-06,413371.94,2.14,901,458.7900085449219,2.33
